study_accession	run_accession	read_count	library_strategy	library_source	library_selection	library_layout	instrument_platform	instrument_model	scientific_name	tax_id
PRJEB80740	ERR15108346	1483970	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108352	1665136	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108354	1893370	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108355	1801170	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108357	1755204	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108362	1604636	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108363	1514492	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108364	1523818	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108365	1478826	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108366	2237784	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108367	2139192	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108368	2162970	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108371	1661398	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108372	1664210	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108373	1620644	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108376	1815520	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108380	1957524	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108383	1554182	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108385	1523624	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108387	1752438	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108398	2223590	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108401	2058132	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108403	1810924	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108406	2139112	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108416	1993526	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108420	1625884	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108421	1568820	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108425	1457890	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108426	2080772	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108428	1999744	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108432	1855954	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108434	1911406	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108437	1778604	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108439	1707854	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108441	1674260	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108443	2048664	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108445	1995450	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108448	1854702	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
PRJEB80740	ERR15108450	2186702	WGS	METAGENOMIC	RANDOM	PAIRED	ILLUMINA	NextSeq 500	Homo sapiens	9606
